gamma,norma_error_final,RMS_error_theta_deg,max_abs_u
1,0.008631234833279381,2.008089465064194,17.433567716888085
10,0.00862548900095874,1.6527685422649492,38.947084281006234
100,0.008623415093264877,1.413077374852654,186.7446817606283
